#Age	d18O
#(yr BP)	(‰)
33.7	-50.12
42.2	-49.16
50.8	-48.14
59.7	-50.35
68.9	-50.94
78.1	-50.60
87.5	-50.52
97.2	-51.07
106.9	-49.97
116.8	-50.89
126.8	-51.60
136.9	-50.45
147.0	-50.81
157.3	-49.98
167.7	-50.62
177.9	-51.07
188.2	-51.72
198.5	-50.11
209.0	-52.51
219.6	-50.22
230.3	-49.92
241.3	-49.86
252.5	-50.44
263.8	-50.70
275.3	-51.70
287.1	-50.98
299.0	-50.72
310.9	-51.68
322.9	-51.17
334.9	-51.26
347.2	-50.64
359.8	-51.50
372.4	-51.56
385.1	-51.89
397.9	-51.00
410.7	-50.55
423.3	-50.58
435.8	-51.93
448.3	-50.50
460.9	-50.49
473.5	-51.06
486.2	-51.24
499.1	-50.23
512.1	-52.52
525.2	-51.03
538.2	-50.94
551.3	-49.54
564.4	-50.14
577.5	-51.18
590.3	-49.53
603.2	-51.20
615.2	-51.18
628.6	-49.33
642.8	-49.82
657.6	-50.43
671.6	-51.31
684.6	-51.06
696.8	-51.10
709.3	-51.02
724.9	-51.49
739.6	-51.68
754.3	-51.58
769.7	-50.70
784.4	-50.82
797.9	-50.44
811.4	-50.65
824.4	-50.24
837.1	-49.93
849.7	-49.70
862.7	-49.57
876.2	-51.58
889.6	-50.27
903.6	-51.79
918.0	-49.99
932.4	-51.45
947.0	-51.04
961.7	-51.16
976.1	-51.28
988.6	-50.41
1003.3	-51.06
1018.2	-50.98
1032.8	-51.55
1045.3	-50.61
1058.3	-49.76
1071.7	-50.36
1085.3	-51.06
1100.9	-51.20
1117.3	-50.17
1133.5	-51.09
1148.7	-49.60
1163.5	-51.35
1178.0	-50.90
1192.5	-49.91
1207.1	-49.89
1221.7	-50.10
1236.3	-51.15
1251.3	-50.29
1265.8	-50.31
1281.5	-50.30
1297.2	-50.80
1313.0	-50.77
1328.8	-49.77
1344.4	-50.47
1360.0	-50.00
1374.7	-50.90
1391.9	-49.43
1408.6	-50.25
1421.6	-50.89
1435.2	-50.76
1449.7	-51.00
1465.6	-51.03
1482.3	-50.98
1498.9	-49.87
1515.4	-51.44
1530.1	-50.93
1544.8	-50.99
1559.5	-50.65
1575.0	-50.03
1592.6	-51.38
1610.2	-50.48
1628.1	-50.38
1646.2	-51.65
1662.2	-51.30
1678.2	-50.27
1696.0	-51.61
1714.3	-50.43
1729.5	-50.47
1745.1	-51.28
1762.3	-51.11
1779.4	-50.64
1796.2	-50.55
1813.6	-50.16
1831.2	-51.68
1847.5	-50.68
1863.7	-51.41
1880.3	-51.45
1896.4	-50.20
1912.5	-51.44
1928.8	-49.36
1945.1	-50.68
1962.7	-50.65
1981.0	-50.89
1998.1	-50.56
2013.6	-50.77
2029.4	-51.29
2045.6	-51.34
2064.5	-50.33
2083.5	-51.36
2102.3	-49.56
2121.0	-51.17
2138.6	-51.13
2156.3	-50.30
2173.1	-51.10
2190.1	-50.86
2208.0	-51.46
2226.3	-51.04
2243.9	-50.89
2277.9	-49.96
2295.1	-50.31
2312.6	-50.82
2330.1	-50.38
2347.8	-52.07
2365.0	-51.68
2382.7	-50.99
2400.6	-51.17
2417.9	-51.28
2435.3	-52.22
2452.6	-51.22
2470.1	-50.53
2489.3	-51.03
2508.0	-51.04
2526.3	-50.28
2544.1	-50.85
2561.7	-49.87
2579.2	-50.64
2596.8	-50.23
2614.1	-50.94
2631.4	-50.26
2648.7	-49.78
2666.3	-50.29
2683.5	-50.47
2700.5	-51.01
2718.2	-50.50
2735.5	-51.27
2754.2	-49.59
2772.9	-49.89
2791.0	-49.91
2809.1	-49.90
2826.5	-50.48
2843.8	-49.63
2861.0	-49.79
2879.0	-49.59
2897.7	-50.50
2916.4	-51.17
2935.1	-51.60
2953.8	-50.09
2972.5	-50.42
2991.7	-50.77
3011.4	-51.24
3031.1	-50.58
3050.4	-51.07
3069.3	-50.71
3088.2	-50.57
3106.9	-50.64
3125.2	-50.18
3160.5	-49.46
3178.9	-51.71
3197.3	-51.17
3216.0	-51.64
3235.2	-50.18
3254.4	-51.20
3273.2	-51.98
3291.8	-50.28
3312.1	-51.09
3332.0	-51.41
3351.8	-50.03
3370.3	-50.99
3389.2	-51.75
3408.3	-50.66
3427.4	-50.85
3446.2	-50.88
3464.8	-50.72
3483.4	-50.53
3501.7	-50.31
3520.2	-51.50
3538.7	-49.70
3557.3	-50.46
3576.3	-50.91
3595.6	-50.56
3615.0	-51.01
3634.6	-49.88
3654.1	-49.96
3673.3	-50.42
3691.8	-50.02
3710.4	-49.99
3728.8	-51.44
3747.2	-49.54
3765.6	-49.63
3784.5	-51.79
3804.0	-49.70
3825.3	-50.65
3845.1	-50.22
3864.5	-51.32
3883.5	-51.31
3902.1	-49.93
3920.6	-50.61
3939.6	-50.85
3958.8	-50.62
3978.1	-50.85
3997.6	-50.18
4017.3	-51.14
4036.5	-51.07
4055.8	-49.91
4075.1	-49.97
4094.6	-51.36
4114.0	-49.67
4133.5	-49.82
4153.2	-50.82
4172.9	-50.75
4192.6	-50.31
4212.1	-50.03
4231.2	-51.83
4249.7	-49.96
4267.9	-49.49
4287.0	-50.47
4307.7	-49.40
4326.8	-50.86
4345.9	-51.31
4365.1	-50.46
4384.3	-50.22
4403.5	-50.45
4422.6	-50.83
4441.7	-51.17
4460.8	-50.23
4479.5	-49.51
4497.8	-50.86
4516.0	-50.00
4535.4	-51.07
4555.7	-50.86
4576.1	-51.23
4596.2	-50.44
4616.1	-50.41
4635.7	-49.99
4653.9	-50.88
4672.6	-50.64
4692.2	-50.62
4711.9	-50.72
4731.7	-49.84
4751.5	-50.91
4771.6	-51.38
4792.0	-50.85
4812.4	-50.82
4832.8	-51.24
4853.0	-50.73
4873.5	-49.94
4893.5	-50.38
4912.9	-50.53
4932.3	-50.49
4951.9	-50.14
4971.7	-49.86
4991.6	-50.93
5011.7	-51.00
5032.0	-50.54
5052.3	-50.67
5072.7	-50.24
5093.1	-51.33
5114.0	-50.47
5134.6	-50.56
5154.8	-50.12
5175.0	-50.04
5195.2	-50.05
5215.3	-50.35
5235.5	-50.77
5255.4	-50.56
5276.1	-51.75
5296.9	-50.74
5317.3	-49.85
5337.4	-50.46
5357.5	-49.86
5377.3	-50.61
5397.0	-50.42
5416.7	-50.16
5437.7	-52.12
5460.1	-51.23
5479.9	-51.41
5498.4	-50.56
5516.7	-51.56
5535.0	-52.20
5552.6	-51.06
5571.8	-50.48
5591.6	-49.54
5611.6	-50.65
5631.6	-50.49
5651.5	-51.11
5670.7	-50.57
5689.4	-50.54
5708.2	-51.11
5726.6	-50.07
5744.7	-51.01
5762.8	-49.35
5780.6	-51.17
5798.1	-49.80
5815.6	-49.76
5833.1	-51.20
5850.7	-50.14
5868.3	-49.96
5886.5	-50.15
5906.3	-50.80
5927.6	-51.11
5949.4	-51.02
