#Age	d18O
#(yr BP)	(‰)
71.8	-44.65
76.2	-44.23
80.7	-46.35
85.1	-44.59
89.6	-45.82
94.0	-46.99
98.2	-43.37
102.3	-45.85
106.4	-46.39
110.4	-45.4
114.5	-44.98
118.5	-44.49
122.8	-44.88
127.2	-44.46
131.7	-44.93
136.1	-43.88
140.5	-43.11
145.0	-43.67
149.8	-43.56
155.0	-45.5
160.1	-44.97
165.3	-43.48
170.5	-44.88
175.6	-43.41
180.6	-45.09
185.5	-45.08
190.3	-44.75
195.1	-44.53
200.0	-45.2
204.8	-43.88
209.7	-44.8
214.6	-46.66
219.5	-44.33
224.4	-44.89
229.3	-44.8
234.2	-44.46
239.2	-45.01
244.3	-45.86
249.4	-44.22
254.5	-45.48
259.6	-44.47
264.7	-45.69
269.8	-45.07
275.0	-45
280.1	-44.91
285.3	-45.82
290.5	-45.85
295.7	-45.88
301.0	-45.05
306.4	-43.9
311.9	-45.04
317.3	-45.82
322.8	-46
328.2	-45.76
333.5	-45.47
338.7	-45.9
343.9	-45.38
349.1	-45.46
354.3	-45.61
359.5	-46.97
364.8	-45.47
370.0	-44.54
375.3	-43.26
380.6	-44.33
385.9	-45.91
391.2	-45.66
396.9	-44.53
402.9	-45.94
409.0	-44.61
415.0	-46.07
421.1	-44.28
427.1	-45.68
433.2	-43.73
439.3	-43.97
445.3	-45.32
451.4	-44.9
457.5	-45.6
463.6	-43.43
469.6	-44.78
475.6	-45.4
481.5	-43.84
487.5	-44.09
493.4	-44.87
499.4	-43.76
505.4	-44.82
511.6	-44.7
517.8	-43.78
524.0	-45.06
530.1	-45.33
536.3	-45.6
542.5	-45.59
548.6	-45.74
554.8	-44.33
560.9	-45.26
567.1	-45.37
573.2	-45.74
579.3	-44.97
585.5	-45
591.6	-44.94
597.7	-46.27
603.9	-45.81
610.0	-44.07
616.1	-45.29
622.1	-46.75
628.2	-43.3
634.3	-43.44
640.3	-45.3
646.4	-46.56
652.8	-45.44
659.8	-45.64
666.7	-44.71
673.7	-45.71
680.6	-46.22
687.5	-45.49
694.3	-45.09
700.9	-44.36
707.5	-42.38
714.1	-43.1
720.7	-46.36
727.4	-45.49
734.0	-44.03
740.7	-44.17
747.4	-45.21
754.1	-45.37
760.8	-44.37
767.5	-45.04
774.0	-44.27
780.2	-44.04
786.4	-44.36
792.7	-45.93
798.9	-44.14
805.1	-43.97
811.6	-44.08
818.2	-44.93
824.9	-43.47
831.6	-44.68
838.2	-45.71
844.9	-44.71
851.6	-44.11
858.5	-44
865.3	-44.7
872.1	-44.7
878.9	-44.83
885.7	-42.88
892.5	-42.8
899.1	-44.27
905.8	-44.83
912.4	-43.23
919.1	-44.87
925.8	-44.2
932.6	-43.82
939.8	-42.72
946.9	-46.67
954.0	-44.74
961.1	-45
968.2	-44.25
975.3	-45.78
982.4	-43.95
989.4	-44.78
996.5	-45.47
1003.6	-45.44
1010.6	-45.6
1017.6	-44.58
1024.5	-43.88
1031.3	-45.14
1038.2	-45.14
1045.1	-45.32
1052.0	-45.61
1058.9	-43.95
1066.0	-44.26
1073.0	-45.53
1080.1	-45.44
1087.2	-45.11
1094.2	-43.15
1101.3	-43.54
1108.2	-45.66
1115.2	-44.01
1122.2	-46.19
1129.2	-45.48
1136.2	-44.63
1142.4	-45.59
1147.7	-43.7
1153.1	-45.6
1158.4	-45.38
1163.7	-44.9
1169.1	-44.92
1175.0	-44.86
1181.6	-45.07
1188.1	-43.63
1194.7	-44.03
1201.2	-44.29
1207.8	-45.55
1214.8	-45.08
1222.3	-44.06
1229.8	-44.16
1237.3	-44.97
1244.8	-45.4
1252.3	-47.02
1259.8	-46.45
1267.5	-44.96
1274.8	-44.31
1282.1	-44.38
1289.3	-43.86
1296.6	-44.61
1304.0	-45.94
1311.3	-45.41
1318.6	-45.6
1325.9	-44.62
1333.2	-43.78
1340.5	-44.79
1347.5	-44.59
1354.0	-46.08
1360.6	-44.74
1367.1	-46.22
1373.6	-45.79
1380.8	-45.82
1388.2	-43.91
1395.7	-45.41
1402.8	-44.28
1409.5	-42.86
1416.0	-45.07
1423.0	-44.03
1430.3	-46.27
1437.7	-44.94
1445.1	-45.02
1452.5	-44.95
1460.6	-45.5
1468.6	-44.54
1476.2	-43.26
1483.7	-44.53
1491.4	-42.86
1499.1	-44.03
1506.9	-46.44
1515.2	-45.93
1523.0	-46.24
1530.7	-45.19
1538.3	-44.82
1545.6	-44.97
1552.9	-45.93
1560.0	-44.88
1567.0	-45
1573.9	-44.29
1581.1	-45.34
1588.5	-45.8
1596.0	-44.98
1603.4	-45.13
1610.2	-43.31
1616.9	-43.91
1624.2	-44.76
1632.1	-45.6
1640.0	-46.21
1647.2	-44.14
1653.9	-43.49
1660.7	-44.31
1668.0	-46.3
1676.0	-45.14
1684.0	-45.36
1691.6	-45.02
1698.7	-43.69
1705.8	-44.66
1712.9	-44.37
1719.5	-44.18
1726.2	-43.95
1733.2	-44.24
1740.4	-45.44
1747.7	-45.25
1755.1	-46.03
1762.7	-44.31
1770.2	-45.46
1777.6	-44.67
1784.7	-44.59
1791.7	-45.41
1798.8	-45.22
1806.0	-44.83
1814.1	-45.25
1821.7	-44.7
1829.3	-42.51
1837.1	-44.26
1845.1	-44.31
1852.4	-44.63
1859.8	-43.96
1867.2	-43.98
1874.8	-45.41
1882.3	-44.22
1890.3	-45.48
1898.7	-46.11
1907.1	-45.03
1915.3	-46.07
1923.3	-45.25
1931.3	-43.91
1938.9	-44.53
1946.3	-44.23
1953.6	-43.95
1961.4	-43.47
1969.2	-44.34
1976.1	-44.47
1983.2	-44.84
1990.5	-44.5
1997.7	-44.34
2005.1	-45.51
2012.7	-44.89
2020.3	-44.72
2027.6	-43.38
2035.3	-43.92
2044.1	-45.54
2052.1	-44.33
2059.4	-43.29
2066.8	-45.67
2074.0	-43.65
2081.2	-43.32
2088.3	-45.6
2095.7	-44.36
2103.1	-44.1
2110.4	-45.78
2118.1	-45.77
2126.0	-45.31
2133.8	-46.12
2141.5	-46.96
2148.9	-43.92
2156.3	-44.96
2163.7	-44.41
2171.4	-44.36
2179.1	-45.66
2186.4	-44.08
2193.3	-43.62
2199.9	-43.35
2206.5	-42.28
2213.1	-43.75
2219.7	-45.82
2227.0	-45.52
2235.1	-45.74
2243.1	-45.61
2250.7	-45.71
2258.0	-44.21
2265.3	-44.28
2272.4	-44.21
2279.4	-44.03
2286.4	-44.72
2293.3	-43.03
2300.0	-44.01
2306.6	-45.44
2313.8	-46.1
2321.5	-44.66
2329.2	-45.75
2336.5	-45.19
2343.7	-45.08
2351.6	-44.07
2359.4	-44.59
2367.1	-43.89
2374.9	-45.36
2382.1	-45.04
2389.3	-43.93
2396.5	-44.05
2403.8	-45.07
2411.4	-44.51
2419.0	-44.9
2426.3	-44.05
2433.5	-44.81
2440.7	-44.07
2448.3	-44.83
2456.4	-45.55
2464.4	-45.85
2472.5	-44.66
2480.6	-44.65
2488.6	-46.08
2496.5	-44.86
2504.2	-44.59
2511.9	-44.48
2519.8	-44.99
2527.8	-45.5
2535.5	-44.51
2543.4	-44.39
2551.3	-45.04
2559.3	-46.64
2567.1	-45.38
2574.7	-43.87
