#Age	d18O
#(yr BP)	(‰)
-35.9	-34.92
-31.3	-35.36
-26.4	-36.70
-21.2	-35.08
-15.9	-34.97
-10.2	-37.28
-4.4	-33.82
1.5	-33.89
7.5	-35.12
13.6	-35.32
19.7	-36.34
25.9	-38.25
32.4	-36.10
39.2	-36.85
46.4	-35.30
53.5	-36.40
60.9	-36.02
68.4	-35.98
75.9	-36.68
83.5	-36.61
91.2	-35.89
99.0	-36.06
106.9	-37.57
114.7	-37.38
122.6	-35.95
130.4	-35.21
138.3	-35.84
146.3	-36.37
154.5	-35.12
162.7	-38.00
171.1	-36.52
179.3	-36.57
187.6	-36.03
196.0	-35.73
204.5	-36.63
212.9	-36.24
221.6	-35.46
230.5	-37.42
239.6	-36.49
248.7	-36.18
257.8	-35.43
267.0	-36.79
276.2	-36.48
285.3	-36.13
294.6	-36.49
304.0	-35.45
313.6	-37.06
323.5	-37.91
333.4	-35.93
343.4	-35.93
353.3	-37.11
363.4	-36.52
373.7	-36.70
384.0	-35.11
394.4	-36.79
405.1	-37.67
416.0	-37.32
426.9	-36.24
437.9	-38.66
448.9	-35.49
460.0	-36.45
471.3	-36.36
482.6	-37.33
493.6	-38.28
504.3	-36.22
515.2	-35.90
526.0	-35.01
536.8	-36.59
547.5	-36.03
558.0	-36.37
568.5	-37.04
578.7	-35.70
588.6	-37.01
598.6	-35.71
608.9	-36.15
619.6	-36.26
630.4	-36.89
641.1	-36.08
651.7	-35.94
661.6	-36.34
669.7	-36.77
677.0	-36.73
689.5	-35.69
706.0	-36.16
720.5	-36.55
733.3	-36.59
745.2	-36.81
757.4	-35.62
769.7	-35.73
781.9	-36.45
793.7	-36.11
805.7	-37.36
817.6	-36.19
829.5	-36.51
841.3	-34.65
852.8	-35.86
864.1	-35.67
875.3	-37.66
886.5	-35.34
897.9	-36.13
909.4	-34.67
920.8	-36.70
932.6	-36.83
944.8	-36.01
957.1	-36.63
969.4	-37.11
981.7	-36.35
994.1	-34.98
1006.4	-36.21
1018.6	-37.08
1030.9	-36.01
1043.3	-36.14
1055.8	-36.58
1068.3	-36.99
1080.8	-36.87
1093.3	-36.20
1105.9	-35.77
1118.3	-36.56
1130.8	-37.40
1143.2	-36.22
1155.7	-35.15
1168.2	-37.01
1180.7	-36.09
1193.3	-35.49
1205.6	-36.15
1217.8	-36.27
1230.1	-36.08
1242.3	-36.28
1254.6	-35.67
1266.7	-35.48
1278.5	-35.34
1290.2	-37.32
1302.3	-36.41
1314.8	-36.92
1327.3	-36.54
1339.9	-36.92
1352.4	-35.86
1365.1	-36.24
1377.7	-36.81
1390.4	-35.54
1403.3	-36.25
1416.2	-33.56
1429.0	-35.89
1441.8	-35.41
1454.7	-36.29
1467.7	-36.26
1481.1	-37.87
1495.2	-36.53
1509.2	-36.23
1522.9	-35.66
1536.3	-35.90
1549.7	-35.18
1563.2	-36.36
1576.7	-36.79
1590.1	-35.43
