#Age	d18O
#(yr BP)	(‰)
-55.6	-32.33
-53.3	-34.98
-51.0	-34.29
-49.0	-32.92
-46.6	-34.95
-43.9	-33.04
-42.0	-32.86
-39.3	-32.94
-36.6	-35.50
-34.1	-34.41
-31.5	-33.84
-29.2	-35.01
-26.1	-34.02
-22.8	-34.35
-20.1	-34.72
-17.2	-35.01
-14.1	-35.10
-10.8	-34.17
-7.7	-35.26
-4.3	-33.72
-1.5	-34.02
1.7	-34.42
4.8	-33.03
7.8	-33.12
10.8	-32.94
14.2	-35.24
17.3	-33.85
20.3	-34.24
23.8	-34.20
27.5	-34.68
30.5	-33.43
33.8	-33.93
37.3	-33.51
40.9	-34.44
45.1	-33.76
48.0	-33.95
51.1	-33.21
54.4	-34.64
58.0	-34.38
61.3	-34.09
65.2	-32.94
68.8	-34.22
71.9	-32.57
75.2	-33.95
79.8	-34.15
83.6	-33.56
87.5	-33.28
91.6	-34.41
95.5	-33.38
99.0	-34.72
102.4	-34.78
106.4	-34.55
110.2	-33.42
114.3	-34.13
118.4	-32.39
122.2	-33.20
125.6	-32.95
129.4	-34.71
133.5	-34.47
137.4	-34.01
141.4	-34.98
145.7	-32.83
149.7	-33.18
154.1	-34.76
158.0	-33.66
161.7	-33.59
165.3	-33.13
169.2	-34.24
173.7	-33.12
177.1	-34.15
181.4	-33.63
185.7	-33.99
189.5	-34.11
193.9	-34.10
198.2	-34.15
202.5	-34.57
207.4	-35.14
211.8	-33.54
215.7	-32.97
219.8	-33.81
223.7	-34.02
228.2	-33.70
232.4	-34.44
237.1	-34.39
241.0	-34.13
245.6	-33.72
249.7	-34.83
254.2	-32.22
258.1	-33.22
262.5	-33.50
266.8	-35.09
271.7	-34.15
276.0	-34.32
280.7	-34.26
285.1	-33.75
289.2	-33.35
292.9	-32.56
296.7	-33.61
300.5	-33.45
304.0	-34.30
308.7	-34.18
313.1	-33.71
316.8	-33.14
321.1	-33.58
325.2	-33.89
329.3	-34.39
333.4	-34.29
337.5	-33.42
341.6	-33.99
346.2	-33.19
351.0	-33.48
355.0	-34.18
358.7	-33.24
362.7	-33.85
366.1	-33.52
370.8	-33.68
375.6	-34.13
379.6	-34.12
384.0	-33.55
388.3	-33.42
392.4	-34.30
396.7	-32.64
400.6	-33.75
405.0	-34.83
409.3	-34.23
413.4	-32.81
417.6	-35.04
422.1	-33.88
426.6	-33.66
431.0	-34.02
435.2	-33.39
439.7	-33.27
444.5	-34.37
449.3	-34.62
453.6	-33.42
458.0	-32.98
461.8	-33.47
465.5	-34.16
469.5	-33.69
474.4	-33.88
479.7	-34.42
484.0	-33.37
488.1	-32.81
493.1	-34.87
497.5	-33.73
502.1	-34.29
506.7	-33.48
511.0	-34.23
515.3	-33.89
520.0	-33.64
524.3	-33.59
528.5	-33.77
532.7	-35.18
537.1	-33.61
541.3	-32.25
545.1	-32.05
548.6	-34.03
553.1	-34.13
557.4	-33.34
561.5	-34.16
566.5	-34.28
571.3	-34.59
575.7	-33.59
579.7	-34.32
583.6	-33.63
588.5	-34.24
593.0	-33.87
597.7	-33.49
601.5	-34.32
606.3	-34.31
610.9	-33.68
615.3	-33.45
619.6	-33.85
624.1	-33.47
629.1	-33.92
633.2	-33.50
637.6	-32.99
641.8	-32.45
645.7	-34.01
649.9	-34.07
654.3	-34.19
659.0	-34.40
663.2	-33.50
667.7	-33.48
672.3	-34.24
677.1	-33.83
681.4	-34.38
685.9	-33.95
690.4	-33.98
694.4	-33.59
698.9	-33.55
703.4	-33.21
706.9	-33.57
711.4	-33.56
715.7	-33.43
720.1	-32.26
724.5	-34.61
729.0	-33.77
733.1	-34.13
737.6	-32.97
741.4	-33.31
745.0	-33.23
749.3	-33.15
754.1	-32.19
758.2	-33.59
762.2	-32.54
766.8	-34.11
771.1	-33.61
775.6	-34.18
780.4	-34.00
784.8	-35.11
789.2	-33.44
793.5	-33.50
797.7	-33.37
801.9	-35.36
805.8	-33.79
809.9	-33.56
814.5	-33.11
818.6	-34.74
822.4	-33.86
826.8	-33.78
831.2	-33.58
835.1	-33.96
840.1	-34.05
844.6	-33.62
849.2	-33.08
853.2	-33.75
857.8	-34.92
862.9	-33.09
866.7	-33.19
871.3	-34.03
875.3	-32.83
879.6	-33.70
883.9	-33.51
888.1	-32.42
891.9	-34.89
895.8	-33.07
899.7	-33.58
904.3	-34.43
907.8	-32.88
911.9	-31.86
916.0	-33.16
920.3	-33.97
924.4	-34.30
928.6	-33.75
933.2	-33.24
937.6	-33.55
941.0	-34.04
945.1	-33.12
949.0	-33.19
953.5	-33.40
957.6	-34.29
961.9	-33.25
966.2	-34.37
970.4	-32.99
974.6	-32.85
978.7	-32.88
982.7	-32.48
986.7	-33.50
990.9	-34.42
995.3	-33.95
999.4	-32.89
1003.2	-33.69
1007.4	-33.16
1011.4	-33.82
1014.8	-33.38
1018.9	-33.58
1022.6	-33.54
1027.1	-33.27
1031.1	-33.07
1035.3	-33.11
1039.6	-33.35
1044.1	-33.49
1048.8	-34.58
1052.6	-34.32
1056.5	-33.06
1060.5	-32.95
1064.8	-32.94
1068.3	-32.43
1072.3	-32.84
1076.5	-33.81
1080.6	-33.12
1085.2	-33.91
1088.9	-33.08
1093.2	-33.69
1098.0	-34.13
1102.1	-33.36
1106.6	-33.87
1110.5	-33.11
1115.2	-32.22
1119.4	-32.34
1123.5	-34.17
1127.9	-32.91
1132.1	-32.81
1136.5	-33.30
1141.0	-32.59
1145.6	-32.88
1149.8	-32.93
1153.6	-32.77
1158.0	-33.40
1162.6	-33.63
1166.7	-33.03
1171.1	-33.22
1175.2	-32.98
1179.4	-32.64
1183.4	-33.00
1187.6	-34.40
1192.2	-33.12
1195.7	-33.55
1199.8	-31.52
1204.0	-33.08
1208.7	-33.18
1212.3	-34.58
1216.4	-33.03
1220.4	-32.10
1224.6	-33.04
1228.6	-32.16
1232.5	-32.92
1236.6	-33.93
1240.8	-32.98
1245.2	-32.98
1248.8	-32.87
1252.7	-33.69
1257.1	-33.88
1261.7	-32.97
1265.6	-32.69
1269.5	-33.17
1273.8	-31.49
1277.5	-32.54
1281.8	-33.37
1285.9	-32.62
1290.2	-33.59
1294.9	-33.13
1298.6	-32.92
1302.3	-33.41
1306.8	-33.54
1310.9	-33.71
1315.0	-33.59
1319.1	-32.42
1323.2	-32.07
1327.6	-33.30
1332.1	-32.57
1336.1	-32.53
1340.3	-31.88
1344.2	-31.97
1348.5	-32.24
1352.4	-33.52
1356.6	-32.94
1360.6	-33.71
1365.1	-33.53
1369.5	-34.43
1374.2	-32.91
1378.2	-33.48
1383.3	-32.83
1387.6	-33.53
1391.1	-33.12
1395.3	-32.81
1399.6	-32.94
1403.4	-32.85
1407.0	-32.34
1411.2	-33.32
1415.6	-32.47
1419.4	-33.46
1423.4	-33.38
1427.9	-32.60
1431.8	-31.63
1435.7	-32.82
1440.2	-33.59
1444.7	-32.90
1448.9	-32.95
1452.9	-32.64
1457.1	-33.33
1461.1	-32.52
1465.0	-32.95
1469.4	-32.91
1474.3	-33.60
1479.2	-33.70
1483.3	-31.83
1487.2	-32.66
1491.5	-31.95
1496.6	-33.18
1500.6	-33.31
1505.0	-32.03
1509.4	-33.93
1513.8	-32.96
1518.1	-33.00
1521.6	-32.87
1525.3	-32.73
1529.4	-33.52
1533.7	-33.06
1538.4	-34.03
1542.7	-32.35
1546.7	-32.68
1550.4	-33.54
1554.9	-33.45
1559.4	-34.37
1563.8	-32.80
1568.1	-32.64
1572.1	-32.83
1576.3	-33.73
1580.3	-31.88
1584.5	-33.86
1589.0	-34.39
1593.2	-33.11
1597.6	-33.07
1601.8	-32.22
1606.0	-31.60
1609.7	-32.89
1613.7	-33.72
1618.5	-33.36
1623.2	-33.32
1627.4	-33.00
1631.8	-33.30
1636.2	-33.06
1640.5	-32.85
1645.8	-32.27
1649.5	-33.22
1654.2	-34.89
1658.3	-32.97
1663.5	-33.33
1668.8	-34.09
1673.2	-33.65
1677.9	-33.01
1682.1	-32.61
1686.7	-33.94
1691.5	-33.72
1696.9	-33.19
1701.2	-32.76
1705.8	-33.10
1710.4	-33.98
1714.8	-32.79
1718.8	-32.55
1722.6	-32.57
1726.6	-32.52
1731.1	-32.24
1734.7	-33.66
1738.9	-31.94
1742.6	-32.92
1747.2	-33.23
1752.3	-33.47
1755.9	-33.45
1760.6	-33.91
1765.1	-33.34
1769.6	-34.26
1774.2	-33.49
1778.7	-33.17
1782.8	-34.11
1786.9	-32.55
1791.5	-31.94
1795.8	-32.80
1800.4	-33.59
1804.7	-33.23
1809.4	-32.26
1813.9	-33.30
1818.9	-33.00
1823.0	-33.45
1827.8	-34.09
1832.0	-33.26
1836.6	-32.91
1840.7	-33.09
1845.1	-33.18
1848.8	-32.63
1853.0	-33.48
1856.9	-32.37
1860.8	-32.41
1865.2	-33.78
1869.6	-32.15
1872.5	-33.20
1876.7	-31.37
1882.9	-33.11
1887.5	-32.59
1891.8	-32.16
1896.1	-32.45
1900.2	-34.10
1904.7	-32.88
1908.8	-31.96
1913.2	-33.04
1917.4	-32.91
1921.4	-33.32
1925.4	-32.69
1930.4	-33.10
1934.6	-32.88
1939.1	-33.22
1943.7	-34.58
1948.9	-34.32
1953.1	-33.26
1957.4	-34.30
1962.1	-33.01
1966.8	-33.42
1970.9	-32.09
1975.7	-32.37
1980.1	-32.61
1983.7	-32.99
1988.3	-33.30
1992.6	-33.00
1996.8	-34.04
2001.4	-33.52
2005.5	-33.50
2009.4	-32.96
2013.8	-32.22
2018.0	-33.22
2022.1	-32.91
2026.1	-32.49
2030.8	-33.29
2035.4	-33.44
2039.3	-32.51
2043.6	-32.67
2047.8	-32.19
2052.3	-34.45
2056.6	-33.46
2061.4	-32.83
2065.9	-32.68
2070.4	-33.23
2075.1	-33.21
2079.6	-33.46
2083.9	-33.16
2088.2	-33.04
2092.7	-32.58
2096.9	-30.41
2101.1	-32.62
2105.0	-32.60
2109.6	-32.72
2113.7	-33.52
2118.3	-33.19
2123.0	-32.92
2127.7	-32.98
2132.2	-33.40
2136.2	-33.85
2141.2	-32.32
2145.9	-32.99
2150.2	-33.19
2154.7	-32.62
2159.4	-32.59
2163.2	-32.94
2167.5	-31.23
2171.3	-32.38
2176.0	-32.61
2180.1	-32.33
2184.1	-33.49
2188.5	-33.06
